kuupäev,valgus,pikkus
2019-04-04 02:47:49,0.88,-86
2019-04-04 02:57:50,0.91,-86
2019-04-04 03:07:50,0.94,-84
2019-04-04 03:17:50,0.97,-84
2019-04-04 03:27:50,1.01,-85
2019-04-04 03:37:51,1.06,-85
2019-04-04 03:57:56,1.17,-84
2019-04-04 04:07:56,1.28,-84
2019-04-04 04:17:57,1.43,-84
2019-04-04 04:27:57,1.59,-85
2019-04-04 04:37:57,1.87,-85
2019-04-04 04:47:58,2.33,-85
2019-04-04 04:57:58,2.8,-83
2019-04-04 05:07:58,3.48,-83
2019-04-04 05:17:59,4.16,-85
2019-04-04 05:27:59,4.77,-85
2019-04-04 05:37:59,5,-84
2019-04-04 05:48:00,5,-83
2019-04-04 05:58:00,5,-84
2019-04-04 06:08:00,5,-83
2019-04-04 06:18:01,5,-85
2019-04-04 06:28:01,5,-82
2019-04-04 06:38:02,5,-83
2019-04-04 06:48:02,5,-86
2019-04-04 06:58:02,5,-85
2019-04-04 07:08:03,5,-83
2019-04-04 07:18:03,5,-82
2019-04-04 07:28:03,5,-82
2019-04-04 07:38:04,5,-84
2019-04-04 07:48:04,5,-83
2019-04-04 07:58:04,5,-81
2019-04-04 08:08:05,5,-84
2019-04-04 08:18:05,5,-82
2019-04-04 08:28:05,5,-85
2019-04-04 08:38:06,5,-82
2019-04-04 08:48:06,5,-83
2019-04-04 08:58:06,5,-82
2019-04-04 09:08:07,5,-81
2019-04-04 09:18:07,5,-80
2019-04-04 09:28:07,5,-82
2019-04-04 09:38:08,5,-78
2019-04-04 09:48:08,5,-78
2019-04-04 09:58:08,5,-79
2019-04-04 10:08:09,5,-78
2019-04-04 10:18:09,5,-82
2019-04-04 10:28:09,5,-78
2019-04-04 10:38:10,5,-78
2019-04-04 10:48:10,5,-78
2019-04-04 10:58:10,5,-77
2019-04-04 11:08:11,5,-77
2019-04-04 11:18:11,5,-79
2019-04-04 11:28:11,5,-77
2019-04-04 11:38:12,5,-78
2019-04-04 11:48:12,5,-77
2019-04-04 11:58:12,5,-77
2019-04-05 12:08:13,5,-77
2019-04-05 12:18:13,5,-77
2019-04-05 12:28:13,5,-78
2019-04-05 12:38:14,5,-77
2019-04-05 12:48:14,5,-76
2019-04-05 12:58:14,5,-78
2019-04-05 01:08:15,5,-76
2019-04-05 01:18:15,5,-79
2019-04-05 01:28:16,5,-78
2019-04-05 01:38:16,5,-76
2019-04-05 01:48:16,5,-78
2019-04-05 01:58:17,5,-78
2019-04-05 02:08:17,5,-78
2019-04-05 02:18:17,5,-77
2019-04-05 02:28:18,5,-77
2019-04-05 02:38:18,5,-77
2019-04-05 02:48:19,5,-77
2019-04-05 02:58:19,5,-76
2019-04-05 03:08:20,5,-77
2019-04-05 03:18:20,4.81,-77
2019-04-05 03:28:20,4,-78
2019-04-05 03:38:21,3.02,-76
2019-04-05 03:48:21,2.26,-76
2019-04-05 03:58:21,1.78,-78
2019-04-05 04:08:22,1.51,-78
2019-04-05 04:18:22,1.31,-77
2019-04-05 04:28:22,1.19,-77
2019-04-05 04:38:23,1.09,-78
2019-04-05 04:48:23,1.06,-77
2019-04-05 04:58:23,0.91,-77
2019-04-05 05:08:24,0.83,-77
2019-04-05 05:18:24,0.76,-77
2019-04-05 05:28:24,0.71,-76
2019-04-05 05:38:25,0.67,-85
2019-04-05 05:48:25,0.66,-79
2019-04-05 05:58:25,0.68,-78
2019-04-05 06:08:26,0.66,-82
2019-04-05 06:18:26,0.65,-79
2019-04-05 06:28:27,0.65,-82
2019-04-05 06:38:27,0.64,-83
2019-04-05 06:48:27,0.62,-84
2019-04-05 06:58:28,0.6,-82
2019-04-05 07:08:28,0.56,-85
2019-04-05 07:19:21,0.53,-84
2019-04-05 07:28:34,0.49,-83
2019-04-05 07:38:34,0.45,-85
2019-04-05 07:48:34,0.44,-84
2019-04-05 07:58:35,0.5,-83
2019-04-05 08:08:35,0.52,-84
2019-04-05 08:18:35,0.51,-84
2019-04-05 08:28:36,0.52,-85
2019-04-05 08:38:36,0.51,-84
2019-04-05 08:48:37,0.5,-85
2019-04-05 08:58:39,0.53,-85
2019-04-05 09:08:39,0.53,-87
2019-04-05 09:18:40,0.56,-85
2019-04-05 09:28:40,0.59,-85
2019-04-05 09:38:42,0.55,-85
2019-04-05 09:48:42,0.56,-85
2019-04-05 09:58:42,0.56,-85
2019-04-05 10:08:43,0.55,-85
2019-04-05 10:18:43,0.57,-84
2019-04-05 10:28:44,0.56,-86
2019-04-05 10:38:44,0.56,-86
2019-04-05 10:48:44,0.57,-87
2019-04-05 10:58:45,0.57,-85
2019-04-05 11:08:45,0.59,-85
2019-04-05 11:18:46,0.6,-86
2019-04-05 11:28:46,0.6,-85
2019-04-05 11:38:46,0.6,-85
2019-04-05 11:48:47,0.64,-86
2019-04-05 11:58:47,0.57,-85
2019-04-05 12:08:48,0.56,-84
2019-04-05 12:18:48,0.56,-85
2019-04-05 12:28:48,0.55,-85
2019-04-05 12:38:49,0.56,-84
2019-04-05 12:48:49,0.57,-84
2019-04-05 12:58:49,0.59,-85
2019-04-05 01:08:50,0.61,-83
2019-04-05 01:18:50,0.69,-84
2019-04-05 01:28:50,0.74,-83
2019-04-05 01:38:51,0.78,-87
2019-04-05 01:48:51,0.73,-86
2019-04-05 01:58:51,0.64,-87
2019-04-05 02:08:52,0.62,-85
2019-04-05 02:18:52,0.64,-84
2019-04-05 02:28:52,0.66,-85
2019-04-05 02:38:53,0.69,-86
2019-04-05 02:48:53,0.73,-84
2019-04-05 02:58:53,0.78,-84
2019-04-05 03:08:54,0.83,-83
2019-04-05 03:18:54,0.87,-85
2019-04-05 03:28:54,0.93,-84
2019-04-05 03:38:55,1,-84
2019-04-05 03:48:55,1.08,-84
2019-04-05 03:58:55,1.16,-84
2019-04-05 04:08:56,1.25,-84
2019-04-05 04:18:56,1.41,-84
2019-04-05 04:28:56,1.57,-85
2019-04-05 04:38:57,1.82,-84
2019-04-05 04:48:57,2.23,-85
2019-04-05 04:58:57,2.71,-85
2019-04-05 05:08:58,3.48,-85
2019-04-05 05:18:58,4.46,-85
2019-04-05 05:28:58,5,-85
2019-04-05 05:38:59,5,-86
2019-04-05 05:48:59,5,-85
2019-04-05 05:59:00,5,-85
2019-04-05 06:09:00,5,-85
2019-04-05 06:19:00,5,-84
2019-04-05 06:29:01,5,-86
2019-04-05 06:39:01,5,-86
2019-04-05 06:49:01,5,-86
2019-04-05 06:59:02,5,-85
2019-04-05 07:09:02,5,-84
2019-04-05 07:19:02,5,-84
2019-04-05 07:29:03,5,-87
2019-04-05 07:39:03,5,-84
2019-04-05 07:49:03,5,-84
2019-04-05 07:59:04,5,-86
2019-04-05 08:09:04,5,-84
2019-04-05 08:19:04,5,-85
2019-04-05 08:29:05,5,-86
2019-04-05 08:39:05,5,-87
2019-04-05 08:49:05,5,-85
2019-04-05 08:59:06,5,-85
2019-04-05 09:09:06,5,-84
2019-04-05 09:19:06,5,-84
2019-04-05 09:29:07,5,-85
2019-04-05 09:39:07,5,-88
2019-04-05 09:49:07,5,-84
2019-04-05 09:59:08,5,-2990
2019-04-05 10:09:08,5,26
2019-04-05 10:19:08,5,-87
2019-04-05 10:29:09,5,-85
2019-04-05 10:39:09,5,-88
2019-04-05 10:49:09,5,-85
2019-04-05 10:59:10,5,-2980
2019-04-05 11:09:11,5,26
2019-04-05 11:19:11,5,-3012
2019-04-05 11:29:11,5,26
2019-04-05 11:39:12,5,-85
2019-04-05 11:49:12,5,-86
2019-04-05 11:59:12,5,-85
2019-04-06 12:09:13,5,-3041
2019-04-06 12:19:13,5,26
2019-04-06 12:29:14,5,-87
2019-04-06 12:39:14,5,-3037
2019-04-06 12:49:15,5,26
2019-04-06 12:59:15,5,-85
2019-04-06 01:09:15,5,-85
2019-04-06 01:19:16,5,-2989
2019-04-06 01:29:16,5,26
2019-04-06 01:39:16,5,-85
2019-04-06 01:49:17,5,-2998
2019-04-06 01:59:17,5,26
2019-04-06 02:09:18,5,-86
2019-04-06 02:19:18,5,-2967
2019-04-06 02:29:19,5,26
2019-04-06 02:39:19,5,-3020
2019-04-06 02:49:20,5,26
2019-04-06 02:59:20,5,-3004
2019-04-06 03:09:20,5,26
2019-04-06 03:19:21,4.87,-3012
2019-04-06 03:29:21,3.67,26
2019-04-06 03:39:22,3.02,-2990
2019-04-06 03:49:22,2.32,26
2019-04-06 03:59:23,1.93,-3005
2019-04-06 04:09:23,1.63,26
2019-04-06 04:19:24,1.44,-3009
2019-04-06 04:29:24,1.24,26
2019-04-06 04:39:24,1.07,-3037
2019-04-06 04:49:25,0.92,26
2019-04-06 04:59:25,0.89,-2995
2019-04-06 05:09:26,0.92,26
2019-04-06 05:19:26,0.88,-3035
2019-04-06 05:29:26,0.79,26
2019-04-06 05:39:27,0.72,-3015
2019-04-06 05:49:27,0.72,26
2019-04-06 05:59:28,0.72,-3046
2019-04-06 06:09:28,0.73,26
2019-04-06 06:19:29,0.77,-3013
2019-04-06 06:29:29,0.78,26
2019-04-06 06:39:29,0.73,-3031
2019-04-06 06:49:30,0.72,26
2019-04-06 06:59:30,0.74,-2988
2019-04-06 07:09:31,0.73,26
2019-04-06 07:19:31,0.71,-3030
2019-04-06 07:29:32,0.7,26
2019-04-06 07:39:32,0.71,-3048
2019-04-06 07:49:32,0.7,26
2019-04-06 07:59:33,0.67,-3029
2019-04-06 08:09:33,0.66,26
2019-04-06 08:19:34,0.66,-3048
2019-04-06 08:29:34,0.65,26
2019-04-06 08:39:35,0.65,-3002
2019-04-06 08:49:35,0.64,26
2019-04-06 08:59:35,0.63,-87
2019-04-06 09:09:36,0.62,-3006
2019-04-06 09:19:36,0.62,26
2019-04-06 09:29:37,0.62,-87
2019-04-06 09:39:37,0.62,-88
2019-04-06 09:49:37,0.62,-86
2019-04-06 09:59:38,0.63,-3030
2019-04-06 10:09:38,0.63,26
2019-04-06 10:19:39,0.63,-3042
2019-04-06 10:29:39,0.63,26
2019-04-06 10:39:39,0.63,-87
2019-04-06 10:59:45,0.63,-86
2019-04-06 11:09:45,0.63,-90
2019-04-06 11:19:45,0.63,-88
2019-04-06 11:29:46,0.64,-87
2019-04-06 11:39:46,0.65,-88
2019-04-06 11:49:46,0.65,-86
2019-04-06 11:59:47,0.66,-86
2019-04-06 12:09:47,0.67,-88
2019-04-06 12:19:47,0.67,-86
